Samplingpoint,Pollutant,Start,End,Value,Unit
NL/SPO-NL00247_06001_101,6001,2020-01-04 17:00:00,2020-01-04 18:00:00,7.2202,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 18:00:00,2020-01-04 19:00:00,12.3554,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 19:00:00,2020-01-04 20:00:00,8.896,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 20:00:00,2020-01-04 21:00:00,7.5201,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 21:00:00,2020-01-04 22:00:00,9.6212,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 22:00:00,2020-01-04 23:00:00,7.8729,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-04 23:00:00,2020-01-05 00:00:00,11.0814,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 00:00:00,2020-01-05 01:00:00,7.2633,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 01:00:00,2020-01-05 02:00:00,7.0311,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 02:00:00,2020-01-05 03:00:00,13.8156,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 03:00:00,2020-01-05 04:00:00,17.128,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 04:00:00,2020-01-05 05:00:00,17.3926,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 05:00:00,2020-01-05 06:00:00,20.4306,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 06:00:00,2020-01-05 07:00:00,16.0402,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 07:00:00,2020-01-05 08:00:00,18.9018,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 08:00:00,2020-01-05 09:00:00,21.1558,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 09:00:00,2020-01-05 10:00:00,18.2942,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 10:00:00,2020-01-05 11:00:00,20.9206,ug.m-3
